DB: Suzuki | Swift | Lxi -> 3895000
DB: Suzuki | Swift | Vxi -> 4249000
DB: Suzuki | Swift | Vxi (O) -> 4449000
DB: Suzuki | Swift | Zxi -> 4649000
DB: Suzuki | Swift | Zxi+ -> 5229000
DB: Suzuki | Celerio | Vxi -> 3099000
DB: Suzuki | Celerio | Zxi -> 3649000
DB: Suzuki | Celerio | Zxi+ -> 4099000
DB: Suzuki | Wagon R | VXI 1.0 MT -> 3319000
DB: Suzuki | Wagon R | VXI 1.0 AGS -> 3399000
DB: Suzuki | Wagon R | ZXI 1.2 MT -> 3499000
DB: Suzuki | Wagon R | ZXI+ 1.2 Dualtone -> 3829000
DB: Suzuki | Alto K10 | Lxi MT -> 2890000
DB: Suzuki | Alto K10 | Vxi MT/AGS -> 3090000
DB: Suzuki | Alto K10 | Vxi+ MT/AGS -> 3190000
DB: Suzuki | Eeco Cargo | Cargo STD — Petrol -> 1959000
DB: Suzuki | Eeco Cargo | Cargo STD — CNG -> 2059000
DB: Suzuki | Grand Vitara | Sigma -> 5299000
DB: Suzuki | Grand Vitara | Delta -> 6099000
DB: Suzuki | Grand Vitara | Zeta -> 6399000
DB: Suzuki | Grand Vitara | Alpha -> 7599000
DB: Suzuki | Grand Vitara | Zeta+ -> 7629000
DB: Suzuki | Grand Vitara | Alpha+ -> 10228000
DB: Suzuki | Jimny | Zeta MT -> 6930000
DB: Suzuki | Jimny | Alpha MT -> 7049000
DB: Suzuki | Jimny | Alpha AT -> 7449000
DB: Suzuki | Fronx | Delta (1.2L MT/AMT) -> 4149000
DB: Suzuki | Fronx | Delta+ (1.2L/1.0T) -> 4649000
DB: Suzuki | Fronx | Zeta (1.0T MT/AT) -> 4999000
DB: Suzuki | Fronx | Alpha (1.0T MT/AT) -> 5299000
DB: Suzuki | Brezza | LXi MT -> 5009000
DB: Suzuki | Brezza | VXi MT/AT -> 5479000
DB: Suzuki | Brezza | ZXi MT/AT -> 5949000
DB: Suzuki | Brezza | ZXi+ MT -> 6179000
DB: Suzuki | Brezza | ZXi+ AT (Dualtone) -> 6929000
DB: Suzuki | Victoris | Lxi -> 0
DB: Suzuki | Victoris | Vxi -> 0
DB: Suzuki | Victoris | Zxi / Zxi (O) -> 0
DB: Suzuki | Victoris | Zxi+ / Zxi+ (O) -> 0
DB: Riddara | RD6 | RD6 2WD (63 kWh) -> 0
DB: Riddara | RD6 | RD6 4WD (73 kWh) -> 0
DB: Hyundai | Grand i10 Nios FL | Era -> 3356000
DB: Hyundai | Grand i10 Nios FL | Era Loaded -> 3396000
DB: Hyundai | Grand i10 Nios FL | Magna -> 3896000
DB: Hyundai | Grand i10 Nios FL | Sportz -> 4096000
DB: Hyundai | Grand i10 Nios FL | Magna AMT -> 4126000
DB: Hyundai | Exter | EX -> 3696000
DB: Hyundai | Exter | S -> 4296000
DB: Hyundai | Exter | SX -> 4696000
DB: Hyundai | Venue FL | E -> 4196000
DB: Hyundai | Venue FL | S -> 4596000
DB: Hyundai | Venue FL | SX -> 5456000
DB: Hyundai | Venue FL | S(O) DCT (1.0T) -> 5996000
DB: Hyundai | i20 | Magna -> 3996000
DB: Hyundai | i20 | Sportz -> 4396000
DB: Hyundai | All New Creta FL | E MT (Made in Nepal) -> 5556000
DB: Hyundai | All New Creta FL | E Loaded (Made in Nepal) -> 5596000
DB: Hyundai | All New Creta FL | E MT (CBU Import) -> 5796000
DB: Hyundai | All New Creta FL | S(O) MT (Made in Nepal) -> 6496000
DB: Hyundai | All New Creta FL | SX MT (Made in Nepal) -> 6796000
DB: Hyundai | All New Creta FL | S(O) IVT (Made in Nepal) -> 6956000
