S.N	Importer	Brand 	Model	Varaint 	TRIM	MRP
1	Shangrila Motors Pvt. Ltd.	Peugeot 	3008 GT			17500000
2	Shangrila Motors Pvt. Ltd.	Citroen 	ec3	ec3		3950000
			ec3	ec3		3800000
3	Shangrila Motors Pvt. Ltd.	Leap Motors 	C10	Design 		7200000
			B10	Design 		6000000
			B10	Life 		5500000
			T03			3400000
4	MAW Variddhi Autocorp Pvt. Ltd	Deepal 	SO7	SO7		7499000
				SO7 ICA		7499000
				SO7 L		8499000
			EO7 	EO7		10399000
				EO7 ICA		10999000
			LO7	LO7		6999000
				LO7 S		6999000
			SO5	SO5 Plus		5399000
				SO5 max		5999000
	United Traders Syndicate Pvt. Ltd. (UTS)	Toyota 	Fortuner MT			27000000
			Fortuner AT			28300000
			RAV4 HYBRID			21300000
			Land Cruiser 250 Prado LUX			37900000
			Land Cruiser 250 Prado AR			32200000
			LC 300 V6			53900000
			Hilux 2.4L 			12200000
			Hilux 2.8L 			14900000
			Hilux 2.8L (AT)			 
			Yaris Cross Hybrid			12900000
			Hiace			9000000
			Corolla Cross Hybrid			18100000
5	Himalayan EV Pvt. Ltd.	Enniu	I.D.6 			1380000
			Cyber Tank 300			1150000
			Sunshine 			1090000
6	Paramount Motors Pvt.ltd 	MG	MG 4 	Comfort(SR)		4149000
				Luxury(LR)		4999000
			MG S5 EV	Comfort(SR)		4399000
				Delux(SR)		4999000
				Delux(LR)		5499000
			MG IM6	 		7699000
			MG Hector Sharp MT	 		7749000
			MG HS	 		8600000
			MG Astor Super 	 		4849000
7	SPG Automobiles Pvt. Ltd.	Omoda 	Omoda	Mono tone 		5499000
				dual tone 		5549000
		jaecoo	jaecoo	J5		5699000
				J6T		6899000
		I Car	I Car	V23		5099000
8	MAW Enterprises Pvt. Ltd.	Skoda 	Kylaq	MT 	Classic 	4590000
				Plus MT		4990000
				Plus AT		5290000
				MT(NSR)	Signature 	4990000
				AT(NSR)		5290000
				MT		5590000
				AT(NSR)		6090000
				MT(NSR)		5490000
				Plus AT(NSR)		5990000
				Plus MT		5990000
				Plus At		6490000
				MT	Prestige	6490000
				AT		6990000
				Plus MT		6590000
				Plus AT		7090000
			Salvia TSI	  MT 1.0	Classic	5,390,000
				MT 1.0	Signature	6,390,000
				AT 1.0		6,990,000
				MT 1.0	Sportline 	6,490,000
				AT 1.0		7,090,000
				MT 1.0 	Prestige 	6,990,000
				AT 1.0		7,790,000
				AT DSG 1.5		8,990,000
			Kushaq TSI	MT	Active 	5490000
				MT	Ambtion 	6290000
				AT		7090000
				MT	Style 	7190000
				AT		7990000
9	Laxmi Intercontinental Pvt. Ltd	Hyundai 	Grand i10 Nios FL	Era		3,356,000
				Era Loaded		3,396,000
				Magna		3,896,000
				Magna AMT		4,126,000
				Sportz		4,096,000
			Exter	EX		3,696,000
				S		4,296,000
				SX		4,696,000
			Venue L	E		4,196,000
				S		4,596,000
				SX		5,456,000
				S(O) DCT		5,996,000
			Creta FL - L	E		5,556,000
				E Loaded		5,596,000
				S O		6,556,000
				S O IVT		6,956,000
				SX		6,856,000
				SX(O) IVT		8,056,000
			Creta Electric	Smart (O)		5,696,000
				Premium +		5,996,000
				Premium + Matte		6,056,000
				Smart (O) LR		6,996,000
			Kona FL	GL		5,996,000
				GLS		6,496,000
			Ioniq 5	Vision Roof		10,396,000
			New Tucson	GL 2WD - MT		10,796,000
				GLX 2WD - AT		13,796,000
				GLX + 2WD - AT		14,496,000
				GLX 4WD AT		16,096,000
			Santa Fe	GLS 4WD AT		18,996,000
10	Cimex Inc. Pvt. Ltd.	BYD	Atto 1 	Dynamic		2975000
				Premium		3380000
			 ATTO 2			4595000
			 ATTO 3	Advanced		5999000
				Superior		6780000
			 DOLPHIN			4115000
			 M6			5890000
			 SEALION 7			7985000
